"Line Probe: Direction [-1,0,0] (m)","Line Probe: Turbulent Kinetic Energy (J/kg)","Line Probe 2: Direction [-1,0,0] (m)","Line Probe 2: Turbulent Kinetic Energy (J/kg)"
-0.156,0.0010626927250996232,-0.208,0.014579406939446926
-0.15626,0.001079749665223062,-0.20773999999999998,2.4924144744873047
-0.15652,0.001079749665223062,-0.20748,2.74311900138855
-0.15678,0.001079749665223062,-0.20722,2.9315309524536133
-0.15704,0.001079749665223062,-0.20695999999999998,3.166571617126465
-0.1573,0.001079749665223062,-0.2067,3.3883566856384277
-0.15756,0.001079749665223062,-0.20643999999999998,3.638706922531128
-0.15782,0.001079749665223062,-0.20618,3.897639036178589
-0.15808,0.001079749665223062,-0.20592,4.05913782119751
-0.15834,0.001079749665223062,-0.20565999999999998,4.196610450744629
-0.1586,0.0011028789449483156,-0.2054,4.294775009155273
-0.15886,0.0011028789449483156,-0.20514,4.337615966796875
-0.15912,0.0011028789449483156,-0.20487999999999998,4.3335113525390625
-0.15938,0.0011028789449483156,-0.20462,4.266184329986572
-0.15964,0.0011028789449483156,-0.20435999999999999,4.200536251068115
-0.1599,0.0011028789449483156,-0.2041,4.112523555755615
-0.16016,0.0011028789449483156,-0.20384,3.868596315383911
-0.16042,0.0011028789449483156,-0.20357999999999998,3.713456630706787
-0.16068,0.0011028789449483156,-0.20332,3.537492036819458
-0.16094,0.0011028789449483156,-0.20306,3.342203140258789
-0.1612,0.0011818597558885813,-0.20279999999999998,3.129530429840088
-0.16146,0.0011818597558885813,-0.20254,2.901824474334717
-0.16172,0.0011818597558885813,-0.20228,2.901824474334717
-0.16198,0.0011818597558885813,-0.20201999999999998,2.6618025302886963
-0.16224,0.0011818597558885813,-0.20176,2.4124960899353027
-0.1625,0.0011818597558885813,-0.20149999999999998,2.157188892364502
-0.16276,0.0011818597558885813,-0.20124,1.899355173110962
-0.16302,0.0011818597558885813,-0.20098,1.899355173110962
-0.16328,0.0011818597558885813,-0.20071999999999998,1.642572283744812
-0.16354,0.0013731741346418858,-0.20046,1.3903462886810303
-0.1638,0.0013731741346418858,-0.2002,1.3903462886810303
-0.16405999999999998,0.0013731741346418858,-0.19994,1.1459424495697021
-0.16432,0.0013731741346418858,-0.19968,0.9121860861778259
-0.16458,0.0013731741346418858,-0.19942,0.9121860861778259
-0.16484,0.0013731741346418858,-0.19916,0.6917773485183716
-0.1651,0.0013731741346418858,-0.1989,0.6917773485183716
-0.16536,0.0013731741346418858,-0.19863999999999998,0.487509548664093
-0.16562,0.0016107144765555859,-0.19838,0.487509548664093
-0.16588,0.0016107144765555859,-0.19812,0.3025228977203369
